Location,Ward/Branch,Stake,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Routes Completed,Neighbourhood,Assessed Value,Time Spent,Latitude,Longitude,New Route Number/Name,Cluster
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,0,20,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 40,2
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,2,242,26,2,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 19,0
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,1,3,155,22,1,BLACKMUD CREEK,503500.0,30,53.42374423,-113.5051636,Gateway Stake 49,0
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,15,15,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 41,2
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,4,198,33,2,ELLERSLIE,797500.0,30,53.43159314034627,-113.44636,Gateway Stake 50,1
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,2,0,75,15,1,FOREST HEIGHTS,837500.0,60,53.55056740256592,-113.4548124,Bonnie Doon Stake 42,2
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,2,2,168,16,1,SILVER BERRY,162000.0,90,53.45921603129749,-113.3818037,Gateway Stake 51,1
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,2,25,32,1,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 52,1
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,0,97,15,1,RUTHERFORD,1154500.0,60,53.42045712828527,-113.5399461,Riverbend Stake 20,0
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,2,130,20,1,BLACKMUD CREEK,503500.0,60,53.42374423,-113.5051636,Gateway Stake 53,0
